id,character,bucket
0261,囚,一级字表
0262,四,一级字表
0263,生,一级字表
0264,矢,一级字表
0265,失,一级字表
0266,乍,一级字表
0267,禾,一级字表
0268,丘,一级字表
0269,付,一级字表
0270,仗,一级字表
0271,代,一级字表
0272,仙,一级字表
0273,们,一级字表
0274,仪,一级字表
0275,白,一级字表
0276,仔,一级字表
0277,他,一级字表
0278,斥,一级字表
0279,瓜,一级字表
0280,乎,一级字表
0471,份,一级字表
0472,华,一级字表
0473,仰,一级字表
0474,仿,一级字表
0475,伙,一级字表
0476,伪,一级字表
0477,自,一级字表
0478,伊,一级字表
0479,血,一级字表
0480,向,一级字表
0481,似,一级字表
0482,后,一级字表
0483,行,一级字表
0484,舟,一级字表
0485,全,一级字表
0486,会,一级字表
0487,杀,一级字表
0488,合,一级字表
0489,兆,一级字表
0490,企,一级字表
0491,众,一级字表
0492,爷,一级字表
0493,伞,一级字表
0494,创,一级字表
0495,肌,一级字表
0496,肋,一级字表
0497,朵,一级字表
0498,杂,一级字表
0499,危,一级字表
0500,旬,一级字表
0501,旨,一级字表
0502,旭,一级字表
0503,负,一级字表
0504,匈,一级字表
0505,名,一级字表
0506,各,一级字表
0507,多,一级字表
0508,争,一级字表
0699,丽,一级字表
0700,医,一级字表
0701,辰,一级字表
0702,励,一级字表
0703,否,一级字表
0704,还,一级字表
0705,尬,一级字表
0706,歼,一级字表
0707,来,一级字表
0708,连,一级字表
0709,轩,一级字表
0710,步,一级字表
0711,卤,一级字表
0712,坚,一级字表
0713,肖,一级字表
0714,旱,一级字表
0715,盯,一级字表
0716,呈,一级字表
0717,时,一级字表
0718,吴,一级字表
0719,助,一级字表
0720,县,一级字表
0721,里,一级字表
0722,呆,一级字表
0723,吱,一级字表
0724,吠,一级字表
0725,呕,一级字表
0726,园,一级字表
0727,旷,一级字表
0728,围,一级字表
0729,呀,一级字表
0730,吨,一级字表
0731,足,一级字表
0732,邮,一级字表
0733,男,一级字表
0734,困,一级字表
0735,吵,一级字表
0736,串,一级字表
0927,矣,一级字表
0928,鸡,一级字表
0929,纬,一级字表
0930,驱,一级字表
0931,纯,一级字表
0932,纱,一级字表
0933,纲,一级字表
0934,纳,一级字表
0935,驳,一级字表
0936,纵,一级字表
0937,纷,一级字表
0938,纸,一级字表
0939,纹,一级字表
0940,纺,一级字表
0941,驴,一级字表
0942,纽,一级字表
0943,奉,一级字表
0944,玩,一级字表
0945,环,一级字表
0946,武,一级字表
0947,青,一级字表
0948,责,一级字表
0949,现,一级字表
